[] 26/03/2022, 18:03:59 INFO: User local_user has TAKEN control of configuration 
[demo-tree] 26/03/2022, 18:04:03 INFO: User local_user has switched to configuration demo-tree
[demo-tree] 26/03/2022, 18:04:07 INFO: User local_user has TAKEN control of configuration demo-tree
[demo-tree] 26/03/2022, 18:04:11 INFO: User local_user has sent command exclude on node Root
[demo-tree] 26/03/2022, 18:04:11 INFO: Root: None
[demo-tree] 26/03/2022, 18:04:13 INFO: User local_user has sent command include on node Root
[demo-tree] 26/03/2022, 18:04:13 INFO: Root: None
[demo-tree] 26/03/2022, 18:04:16 INFO: User local_user has sent command exclude on node ReadoutInterfaces
[demo-tree] 26/03/2022, 18:04:16 INFO: ReadoutInterfaces: None
[demo-tree] 26/03/2022, 18:04:19 INFO: User local_user has sent command include on node ReadoutInterfaces
[demo-tree] 26/03/2022, 18:04:19 INFO: ReadoutInterfaces: None
[demo-tree] 26/03/2022, 18:04:30 INFO: User local_user has sent command exclude on node ReadoutInterfaces
[demo-tree] 26/03/2022, 18:04:30 INFO: ReadoutInterfaces: None
[demo-tree] 26/03/2022, 18:04:33 INFO: User local_user has sent command include on node ReadoutInterfaces
[demo-tree] 26/03/2022, 18:04:33 INFO: ReadoutInterfaces: None
[demo-tree] 26/03/2022, 18:04:49 INFO: User local_user has sent command exclude on node readoutinterface02
[demo-tree] 26/03/2022, 18:04:49 INFO: readoutinterface02: None
[demo-tree] 26/03/2022, 18:04:55 INFO: User local_user has sent command include on node readoutinterface02
[demo-tree] 26/03/2022, 18:04:55 INFO: readoutinterface02: None
[demo-tree] 26/03/2022, 18:05:03 INFO: User local_user has sent command add on node eventbuilder01
[demo-tree] 26/03/2022, 18:05:03 ERROR: eventbuilder01: (<Fault 10: 'BAD_NAME: group: daq'>, ': cannot add program', 'eventbuilder01', '(probably already added)')
[demo-tree] 26/03/2022, 18:05:20 INFO: User local_user has sent command exclude on node eventbuilder01
[demo-tree] 26/03/2022, 18:05:20 INFO: eventbuilder01: None
[demo-tree] 26/03/2022, 18:05:24 INFO: User local_user has sent command add on node eventbuilder01
[demo-tree] 26/03/2022, 18:05:24 INFO: eventbuilder01: Excluded
[demo-tree] 26/03/2022, 18:05:39 INFO: User local_user has sent command add on node eventbuilder01
[demo-tree] 26/03/2022, 18:05:39 INFO: eventbuilder01: Excluded
[demo-tree] 26/03/2022, 18:06:44 INFO: User local_user has RELEASED control of configuration demo-tree
